year,state,totals
2017,Rhode Island,1899
2017,South Carolina,32995
2017,South Dakota,6704
2017,Tennessee,52959
2017,Texas,118091
2017,Utah,22138
2017,Vermont,2382
2017,Virgin Islands,153
2017,Virginia,36838
2017,Washington,46023
2017,West Virginia,14498
2017,Wisconsin,36267
2017,Wyoming,3975
2017,Alabama,33331
2017,Alaska,6442
2017,Arizona,28734
2017,Arkansas,16749
2017,California,129307
2017,Colorado,36008
2017,Connecticut,16149
2017,Delaware,4012
2017,District of Columbia,82
2017,Florida,96556
2017,Georgia,36905
2017,Guam,157
2017,Hawaii,1117
2017,Idaho,13065
2017,Illinois,121746
2017,Indiana,54347
2017,Iowa,10232
2017,Kansas,12337
2017,Kentucky,391740
2017,Louisiana,21311
2017,Maine,7200
2017,Mariana Islands,12
2017,Maryland,11660
2017,Massachusetts,16651
2017,Michigan,38548
2017,Minnesota,55570
2017,Mississippi,15680
2017,Missouri,34965
2017,Montana,9418
2017,Nebraska,5025
2017,Nevada,9803
2017,New Hampshire,8868
2017,New Jersey,8694
2017,New Mexico,11291
2017,New York,31294
2017,North Carolina,39413
2017,North Dakota,4654
2017,Ohio,56229
2017,Oklahoma,22693
2017,Oregon,26466
2017,Pennsylvania,79725
2017,Puerto Rico,1600
2017,Rhode Island,1883
2017,South Carolina,31248
2017,South Dakota,7004
2017,Tennessee,57763
2017,Texas,109732
2017,Utah,23844
2017,Vermont,2577
2017,Virgin Islands,79
2017,Virginia,36007
2017,Washington,45816
2017,West Virginia,15085
2017,Wisconsin,37888
2017,Wyoming,4128
2017,Alabama,32652
2017,Alaska,6983
2017,Arizona,32052
2017,Arkansas,16452
2017,California,132190
2017,Colorado,39989
2017,Connecticut,16406
2017,Delaware,4296
2017,District of Columbia,104
2017,Florida,103641
2017,Georgia,37829
2017,Guam,147
2017,Hawaii,888
2017,Idaho,15234
2017,Illinois,135507
2017,Indiana,63298
2017,Iowa,13017
2017,Kansas,15139
2017,Kentucky,392685
2017,Louisiana,22065
2017,Maine,8115
2017,Mariana Islands,13
2017,Maryland,13182
2017,Massachusetts,17866
2017,Michigan,41939
2017,Minnesota,71484
2017,Mississippi,16803
2017,Missouri,40019
2017,Montana,10293
2017,Nebraska,5745
2017,Nevada,10588
2017,New Hampshire,10792
2017,New Jersey,9119
2017,New Mexico,12748
2017,New York,33113
2017,North Carolina,39992
2017,North Dakota,6504
2017,Ohio,66800
2017,Oklahoma,27478
2017,Oregon,27936
2017,Pennsylvania,85908
2017,Puerto Rico,1387
2017,Rhode Island,2133
2017,South Carolina,30218
2017,South Dakota,7857
2017,Tennessee,57852
2017,Texas,109961
2017,Utah,23177
2017,Vermont,3818
2017,Virgin Islands,111
2017,Virginia,48631
2017,Washington,47895
2017,West Virginia,16988
2017,Wisconsin,45872
